Rk,Player,Team,Game,H-1st (SEC),1st-2nd Steal (SEC),SS (M/S)
459,茂木 栄,ヤ,2026-04-29 神 @ ヤ,4.14,,8.4
459,中野 拓,神,2026-04-12 神 @ 中,4.14,,8.8
459,髙寺 望,神,2026-04-25 広 @ 神,4.14,,8.9
459,田宮 裕,日,2026-05-15 西 @ 日,4.14,,8.6
459,鵜飼 航,中,2026-04-30 デ @ 中,4.14,,8.8
464,三森 大,デ,2026-05-06 広 @ デ,4.14,,8.7
464,水野 達,日,2026-04-26 日 @ オ,4.14,,8.9
464,西川 龍,オ,2026-05-14 オ @ 楽,4.14,,8.3
464,滝澤 夏,西,2026-04-25 西 @ 楽,4.14,,8.7
468,髙部 瑛,ロ,2026-05-10 ロ @ ソ,4.14,,8.7
469,近本 光,神,2026-04-25 広 @ 神,4.15,,8.9
469,五十幡 亮,日,2026-05-04 日 @ 楽,4.15,,8.7
469,髙部 瑛,ロ,2026-05-14 日 @ ロ,4.15,,8.5
469,髙寺 望,神,2026-05-03 巨 @ 神,4.15,,8.9
469,田中 幹,中,2026-05-16 ヤ @ 中,4.15,,9.1
469,吉川 尚,巨,2026-04-28 広 @ 巨,4.15,,8.7
475,平沢 大,西,2026-05-03 西 @ ロ,4.15,,8.9
475,水野 達,日,2026-05-10 日 @ オ,4.15,,9.1
475,村松 開,中,2026-04-05 中 @ ヤ,4.15,,9.0
478,藤原 恭,ロ,2026-03-28 西 @ ロ,4.15,,9.2
478,村松 開,中,2026-04-18 中 @ 神,4.15,,8.5
480,茶野 篤,西,2026-04-30 日 @ 西,4.15,,8.3
480,田宮 裕,日,2026-05-09 日 @ オ,4.15,,8.7
480,土田 龍,中,2026-05-12 中 @ デ,4.15,,8.6
483,岩田 幸,ヤ,2026-04-16 デ @ ヤ,4.15,,8.3
483,浦田 俊,巨,2026-05-06 ヤ @ 巨,4.15,,8.6
485,秋山 翔,広,2026-04-28 広 @ 巨,4.15,,8.6
485,川瀬 晃,ソ,2026-04-22 ソ @ 西,4.15,,8.5
485,牧原 大,ソ,2026-04-21 ソ @ 西,4.15,,8.8
488,福島 圭,神,2026-04-08 ヤ @ 神,4.15,,8.9
488,勝又 温,デ,2026-04-28 デ @ 中,4.15,,8.5
488,水野 達,日,2026-05-12 日 @ ロ,4.15,,8.9
488,外崎 修,西,2026-04-08 西 @ ソ,4.15,,8.6
492,滝澤 夏,西,2026-05-02 西 @ ロ,4.15,,8.4
492,田宮 裕,日,2026-05-16 西 @ 日,4.15,,8.7
492,渡部 遼,オ,2026-05-01 オ @ 日,4.15,,8.8
495,林 琢,デ,2026-05-03 デ @ ヤ,4.15,,8.6
496,森 友,オ,2026-05-05 ロ @ オ,4.16,,8.4
496,柳町 達,ソ,2026-05-05 ソ @ 西,4.16,,8.6
498,髙部 瑛,ロ,2026-05-12 日 @ ロ,4.16,,9.1
498,田宮 裕,日,2026-04-17 西 @ 日,4.16,,8.5
500,村松 開,中,2026-05-02 中 @ 広,4.16,,8.5
501,源田 壮,西,2026-04-19 西 @ 日,4.16,,8.8
501,牧原 大,ソ,2026-04-12 ソ @ 日,4.16,,8.8
501,西川 史,ロ,2026-05-05 ロ @ オ,4.16,,8.7
501,滝澤 夏,西,2026-04-29 日 @ 西,4.16,,8.2
505,渡部 遼,オ,2026-04-16 西 @ オ,4.16,,8.3
506,長谷川 信,西,2026-05-10 楽 @ 西,4.16,,8.7
506,村松 開,中,2026-04-01 巨 @ 中,4.16,,8.7
506,中野 拓,神,2026-03-29 神 @ 巨,4.16,,8.9
506,度会 隆,デ,2026-05-06 広 @ デ,4.16,,8.6
506,山縣 秀,日,2026-03-27 日 @ ソ,4.16,,8.7
511,中川 圭,オ,2026-03-29 楽 @ オ,4.16,,9.0
511,小川 龍,ロ,2026-03-28 西 @ ロ,4.16,,8.9
513,大塚 瑠,日,2026-04-17 西 @ 日,4.16,,8.8
513,佐々木 俊,巨,2026-04-26 巨 @ デ,4.16,,8.8
513,田宮 裕,日,2026-04-01 ロ @ 日,4.16,,8.5
516,髙寺 望,神,2026-04-10 神 @ 中,4.16,,9.0
516,武岡 龍,ヤ,2026-05-12 神 @ ヤ,4.16,,8.8
518,源田 壮,西,2026-05-05 ソ @ 西,4.16,,8.8
518,村松 開,中,2026-05-12 中 @ デ,4.16,,8.7
518,村松 開,中,2026-04-29 デ @ 中,4.16,,8.5
518,渡部 遼,オ,2026-04-22 オ @ ロ,4.16,,8.6
518,柳田 悠,ソ,2026-04-23 ソ @ 西,4.16,,8.8
523,福島 圭,神,2026-04-28 神 @ ヤ,4.17,,8.7
523,清宮 幸,日,2026-05-01 オ @ 日,4.17,,8.7
523,丸山 和,ヤ,2026-04-22 ヤ @ 広,4.17,,8.7
523,周東 佑,ソ,2026-04-12 ソ @ 日,4.17,,9.0
527,藤原 恭,ロ,2026-05-09 ロ @ ソ,4.17,,9.1
527,福島 圭,神,2026-05-12 神 @ ヤ,4.17,,8.9
527,来田 涼,オ,2026-05-02 オ @ 日,4.17,,8.9
527,髙部 瑛,ロ,2026-05-06 ロ @ オ,4.17,,8.5
531,寺地 隆,ロ,2026-04-03 ソ @ ロ,4.17,,8.7
532,平山 功,巨,2026-05-01 巨 @ 神,4.17,,8.9
532,谷川原 健,ソ,2026-03-29 日 @ ソ,4.17,,8.8
534,藤原 恭,ロ,2026-04-12 ロ @ 西,4.17,,9.1
534,橋本 星,ヤ,2026-04-25 ヤ @ 中,4.17,,8.6
534,滝澤 夏,西,2026-05-08 楽 @ 西,4.17,,8.5
534,滝澤 夏,西,2026-04-26 西 @ 楽,4.17,,8.8
534,田宮 裕,日,2026-05-12 日 @ ロ,4.17,,8.4
539,秋山 翔,広,2026-05-06 広 @ デ,4.17,,8.4
539,加藤 匠,中,2026-05-14 中 @ デ,4.17,,8.4
539,京田 陽,デ,2026-05-08 デ @ 神,4.17,,8.3
539,村林 一,楽,2026-04-09 日 @ 楽,4.17,,8.9
539,野村 勇,ソ,2026-04-04 ソ @ ロ,4.17,,9.0
539,大盛 穂,広,2026-05-19 デ @ 広,4.17,,8.9
539,浦田 俊,巨,2026-04-01 巨 @ 中,4.17,,8.3
539,度会 隆,デ,2026-03-28 ヤ @ デ,4.17,,8.6
547,伊藤 琉,ヤ,2026-04-29 神 @ ヤ,4.17,,9.0
547,小深田 大,楽,2026-04-02 ソ @ 楽,4.17,,8.3
547,中山 礼,巨,2026-05-02 巨 @ 神,4.17,,8.6
547,平良 竜,楽,2026-05-08 楽 @ 西,4.17,,9.2
